Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,18937.449219,19187.609375,18068.099609,18193.410156,18193.410156,0
2000-01-10,18246.099609,19058.019531,18246.099609,18956.550781,18956.550781,0
2000-01-17,19025.619141,19442.580078,18713.169922,18878.089844,18878.089844,0
2000-01-24,18878.460938,19595.830078,18815.369141,19434.779297,19434.779297,0
2000-01-31,19375.109375,20011.910156,19224.470703,19763.130859,19763.130859,0
2000-02-07,19832.759766,20046.140625,19710.019531,19710.019531,19710.019531,0
2000-02-14,19698.570313,19862.939453,19300.140625,19789.029297,19789.029297,0
2000-02-21,19736.150391,19817.880859,19353.400391,19817.880859,19817.880859,0
2000-02-28,19783.439453,20202.960938,19713.859375,19927.539063,19927.539063,0
2000-03-06,20041.480469,20160.029297,19614.820313,19750.400391,19750.400391,0
2000-03-13,19731.500000,19760.349609,18765.880859,19566.320313,19566.320313,0
2000-03-20,19598.529297,20012.410156,19455.109375,19958.080078,19958.080078,0
2000-03-27,19976.140625,20809.789063,19880.109375,20337.320313,20337.320313,0
2000-04-03,20327.789063,20747.820313,20171.619141,20252.810547,20252.810547,0
2000-04-10,20368.810547,20833.210938,20330.890625,20434.679688,20434.679688,0
2000-04-17,20341.500000,20341.500000,18091.099609,18252.679688,18252.679688,0
2000-04-24,18247.480469,18987.339844,17926.429688,17973.699219,17973.699219,0
2000-05-01,17979.250000,18586.160156,17979.250000,18439.359375,18439.359375,0
2000-05-08,18465.710938,18475.449219,16779.419922,17357.859375,17357.859375,0
2000-05-15,17396.449219,17691.390625,16572.050781,16858.169922,16858.169922,0
2000-05-22,16802.660156,16802.660156,15870.250000,16008.139648,16008.139648,0
2000-05-29,16028.759766,16941.419922,16028.759766,16800.060547,16800.060547,0
2000-06-05,16842.039063,17261.869141,16785.769531,16861.910156,16861.910156,0
2000-06-12,16876.679688,17018.640625,16289.919922,16318.309570,16318.309570,0
2000-06-19,16382.110352,17364.259766,16359.959961,16963.210938,16963.210938,0
2000-06-26,16927.269531,17511.320313,16761.589844,17411.050781,17411.050781,0
2000-07-03,17451.650391,17661.109375,17154.580078,17398.240234,17398.240234,0
2000-07-10,17421.560547,17594.660156,17009.650391,17142.900391,17142.900391,0
2000-07-17,17188.980469,17476.859375,16703.009766,16811.490234,16811.490234,0
2000-07-24,16767.199219,16767.199219,15815.530273,15838.570313,15838.570313,0
2000-07-31,15821.309570,16211.549805,15394.709961,15667.360352,15667.360352,0
2000-08-07,15666.809570,16125.660156,15666.809570,16117.500000,16117.500000,0
