Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,6024.379883,6102.120117,5388.850098,5539.609863,5539.609863,0
2000-01-10,5625.819824,5804.160156,5536.500000,5787.439941,5787.439941,0
2000-01-17,5834.750000,5859.439941,5590.189941,5681.319824,5681.319824,0
2000-01-24,5687.359863,5813.279785,5590.169922,5731.049805,5731.049805,0
2000-01-31,5677.790039,6312.419922,5625.720215,6275.720215,6275.720215,0
2000-02-07,6276.470215,6396.970215,6148.470215,6287.009766,6287.009766,0
2000-02-14,6241.910156,6330.009766,5997.770020,6062.720215,6062.720215,0
2000-02-21,5979.129883,6202.529785,5920.609863,6188.640137,6188.640137,0
2000-02-28,6181.049805,6555.870117,6031.689941,6514.109863,6514.109863,0
2000-03-06,6554.950195,6590.350098,6333.459961,6510.279785,6510.279785,0
2000-03-13,6477.470215,6483.810059,6144.069824,6304.279785,6304.279785,0
2000-03-20,6328.040039,6460.810059,6176.620117,6364.259766,6364.259766,0
2000-03-27,6409.580078,6584.370117,6166.819824,6286.049805,6286.049805,0
2000-04-03,6382.279785,6382.279785,5913.709961,6308.040039,6308.040039,0
2000-04-10,6393.700195,6429.509766,6050.189941,6065.709961,6065.709961,0
2000-04-17,5772.870117,6258.770020,5752.439941,6234.509766,6234.509766,0
2000-04-24,6219.410156,6461.520020,6162.089844,6419.720215,6419.720215,0
2000-05-01,6489.040039,6575.169922,6399.990234,6545.759766,6545.759766,0
2000-05-08,6563.830078,6591.439941,6162.250000,6449.270020,6449.270020,0
2000-05-15,6421.790039,6571.649902,6186.759766,6196.049805,6196.049805,0
2000-05-22,6184.040039,6249.180176,6003.899902,6129.149902,6129.149902,0
2000-05-29,6185.990234,6780.660156,6181.830078,6673.520020,6673.520020,0
2000-06-05,6678.770020,6697.310059,6456.560059,6549.049805,6549.049805,0
2000-06-12,6510.819824,6644.169922,6456.259766,6456.259766,6456.259766,0
2000-06-19,6436.470215,6591.629883,6417.890137,6545.350098,6545.350098,0
2000-06-26,6548.669922,6634.609863,6391.640137,6446.540039,6446.540039,0
2000-07-03,6462.029785,6572.660156,6393.120117,6565.970215,6565.970215,0
2000-07-10,6471.899902,6588.109863,6422.720215,6570.359863,6570.359863,0
2000-07-17,6605.319824,6631.479980,6450.799805,6464.120117,6464.120117,0
2000-07-24,6474.319824,6582.479980,6396.129883,6415.720215,6415.720215,0
2000-07-31,6412.520020,6573.220215,6354.930176,6461.350098,6461.350098,0
2000-08-07,6462.220215,6619.240234,6447.950195,6553.000000,6553.000000,0
2000-08-14,6613.370117,6712.299805,6554.790039,6594.350098,6594.350098,0
2000-08-21,6559.520020,6615.339844,6449.649902,6595.109863,6595.109863,0
2000-08-28,6598.819824,6843.859863,6561.700195,6813.660156,6813.660156,0
2000-09-04,6823.169922,6944.770020,6693.040039,6703.359863,6703.359863,0
2000-09-11,6722.930176,6735.580078,6564.600098,6614.649902,6614.649902,0
2000-09-18,6562.140137,6584.169922,6085.399902,6258.580078,6258.580078,0
2000-09-25,6344.180176,6372.140137,6233.979980,6266.629883,6266.629883,0
2000-10-02,6150.490234,6434.500000,6150.490234,6258.410156,6258.410156,0
2000-10-09,6220.080078,6227.629883,5828.140137,6064.209961,6064.209961,0
2000-10-16,6158.339844,6183.459961,5833.629883,6149.439941,6149.439941,0
2000-10-23,6123.189941,6323.740234,6120.089844,6268.930176,6268.930176,0
2000-10-30,6232.000000,6444.979980,6230.910156,6398.919922,6398.919922,0
2000-11-06,6459.500000,6459.500000,6137.589844,6147.490234,6147.490234,0
2000-11-13,6104.990234,6312.779785,5996.720215,6161.919922,6161.919922,0
2000-11-20,6178.569824,6195.410156,5933.080078,6145.649902,6145.649902,0
2000-11-27,6198.669922,6254.169922,5893.540039,5928.500000,5928.500000,0
2000-12-04,5933.310059,6108.540039,5763.180176,5939.319824,5939.319824,0
2000-12-11,6005.620117,6126.410156,5818.569824,5839.540039,5839.540039,0
2000-12-18,5832.700195,5972.419922,5673.870117,5783.729980,5783.729980,0
