Date,Price,Open,High,Low,Vol.,Change %
23/12/2018,6733.97 ,"6,721.17","6,742.48","6,536.53",1.32B,0.19%
16/12/2018,6721.17 ,"6,845.17","6,845.17","6,646.45",4.97B,-1.81%
09/12/2018,6845.17 ,"6,778.11","6,908.48","6,719.17",4.35B,0.99%
02/12/2018,6778.11 ,"6,980.24","7,145.49","6,673.57",4.46B,-2.90%
25/11/2018,6980.24 ,"6,952.86","7,078.37","6,952.86",4.53B,0.39%
18/11/2018,6952.86 ,"7,013.88","7,070.46","6,904.21",4.01B,-0.87%
11/11/2018,7013.88 ,"7,105.34","7,186.31","6,968.99",5.10B,-1.29%
04/11/2018,7105.34 ,"7,094.12","7,171.69","7,027.45",3.31B,0.16%
28/10/2018,7094.12 ,"6,939.56","7,196.39","6,939.56",4.38B,2.23%
21/10/2018,6939.56 ,"7,049.80","7,114.12","6,851.59",4.28B,-1.56%
14/10/2018,7049.80 ,"6,995.91","7,089.03","6,961.28",3.66B,0.77%
07/10/2018,6995.91 ,"7,318.54","7,319.84","6,994.78",4.66B,-4.41%
30/09/2018,7318.54 ,"7,510.20","7,526.20","7,318.54",4.02B,-2.55%
23/09/2018,7510.20 ,"7,490.23","7,552.02","7,450.53",3.81B,0.27%
16/09/2018,7490.23 ,"7,304.04","7,495.26","7,267.83",4.59B,2.55%
09/09/2018,7304.04 ,"7,277.70","7,325.25","7,220.50",3.36B,0.36%
02/09/2018,7277.70 ,"7,432.42","7,535.12","7,227.07",3.57B,-2.08%
26/08/2018,7432.42 ,"7,577.49","7,636.72","7,428.67",2.79B,-1.91%
19/08/2018,7577.49 ,"7,558.59","7,616.15","7,531.24",2.88B,0.25%
12/08/2018,7558.59 ,"7,667.01","7,667.33","7,477.05",3.81B,-1.41%
05/08/2018,7667.01 ,"7,659.10","7,790.17","7,636.60",3.42B,0.10%
29/07/2018,7659.10 ,"7,701.31","7,782.90","7,549.34",4.41B,-0.55%
22/07/2018,7701.31 ,"7,678.79","7,740.64","7,621.75",3.56B,0.29%
