"SP500.price","NK225.price"
1310.87,10543.52
1329.15,10605.65
1340.43,10842.8
1319.88,10526.76
1321.15,10693.66
1304.28,10254.43
1279.2,9206.75
1313.8,9536.13
1332.41,9708.39
1328.17,9768.08
1319.68,9591.52
1337.38,9682.21
1363.61,9849.74
1340.2,9859.2
1337.78,9648.77
1333.27,9607.08
1331.1,9521.94
1300.16,9492.21
1270.98,9514.44
1271.5,9351.4
1268.45,9678.71
1339.67,9868.07
1343.8,10137.73
1316.14,9974.47
1345.02,10132.11
1292.28,9833.03
1199.38,9299.88
1178.81,8963.72
1123.53,8719.24
1176.8,8797.78
1173.97,8950.74
1154.23,8737.66
1216.01,8864.16
1136.43,8560.26
1131.42,8700.29
1155.46,8605.62
1224.58,8747.96
1238.25,8678.89
1285.09,9050.47
1253.23,8801.4
1263.85,8514.47
1215.65,8374.91
1158.67,8160.01
1244.28,8643.75
1255.19,8536.46
1219.66,8401.72
1265.33,8395.16
1257.6,8455.35
1277.81,8390.35
1289.09,8500.02
1315.38,8766.36
1316.33,8841.22
1344.9,8831.93
1342.64,8947.17
1361.23,9384.17
1365.74,9647.38
1369.63,9777.03
1370.87,9929.74
1404.17,10129.83
1397.11,10011.47
1408.47,10083.56
1398.08,9688.45
1370.26,9637.99
1378.53,9561.36
1403.36,9520.89
1369.1,9380.25
1353.39,8953.31
1295.22,8611.31
1317.82,8580.39
1278.04,8440.25
1325.66,8459.26
1342.84,8569.32
1335.02,8798.35
1362.16,9006.78
1354.68,9020.75
1356.78,8724.12
1362.66,8669.87
1385.97,8566.64
1390.99,8555.11
1405.87,8891.44
1418.16,9162.5
1411.13,9070.76
1406.58,8839.91
1437.92,8871.65
1465.77,9159.39
1460.15,9110
1440.67,8870.16
1460.93,8863.3
1428.59,8534.12
1433.19,9002.68
1411.94,8933.06
1414.2,9051.22
1379.85,8757.6
1359.88,9024.16
1409.15,9366.8
1416.18,9446.01
1418.07,9527.39
1413.58,9737.56
1430.15,9940.06
1402.43,10395.18
1466.47,10688.11
1472.05,10801.57
1485.98,10913.3
1502.96,10926.65
1513.17,11191.34
1517.93,11153.16
1519.79,11173.83
1515.6,11385.94
1518.2,11606.38
1551.18,12283.62
1560.7,12560.95
1556.89,12338.53
1569.19,12397.91
1553.28,12833.64
1588.85,13485.14
1555.25,13316.48
1582.24,13884.13
1614.42,13694.04
1633.7,14607.54
1667.47,15138.12
1649.6,14612.45
1630.74,13774.54
1643.38,12877.53
1626.73,12686.52
1592.43,13230.13
1606.28,13677.32
1631.89,14309.97
1680.19,14506.25
1692.09,14589.91
1691.65,14129.98
1709.67,14466.16
1691.42,13615.19
1655.83,13650.11
1663.5,13660.55
1632.97,13388.86
1655.17,13860.81
1687.99,14404.67
1709.91,14742.42
1691.75,14760.07
1690.5,14024.31
1703.2,14404.74
1744.5,14561.54
1759.77,14088.19
1761.64,14201.57
1770.61,14086.8
1798.18,15165.92
1804.76,15381.72
1805.81,15661.87
1805.09,15299.86
1775.32,15403.11
1818.32,15870.42
1841.4,16178.94
1831.37,16291.31
1842.37,15912.06
1838.7,15734.46
1790.29,15391.56
1782.59,14914.53
1797.02,14462.41
1838.63,14313.03
1836.25,14865.67
1859.45,14841.07
1878.04,15274.07
1841.13,14327.66
1866.52,14224.23
1857.62,14696.03
1865.09,15063.77
1815.69,13960.05
1864.85,14516.27
1863.4,14429.26
1881.14,14457.51
1878.48,14199.59
1877.86,14096.59
1900.53,14462.17
1923.57,14632.38
1949.44,15077.24
1936.16,15097.84
1962.87,15349.42
1960.96,15095
1985.44,15437.13
1967.57,15164.04
1978.22,15215.71
1978.34,15457.87
1925.15,15523.11
1931.59,14778.37
1955.06,15318.34
1988.4,15539.19
2003.37,15424.59
2007.71,15668.68
1985.54,15948.29
2010.4,16321.17
1982.85,16229.86
1967.9,15708.65
1906.13,15300.55
1886.76,14532.51
1964.58,15291.64
2018.05,16413.76
2031.92,16880.38
2039.82,17490.83
2063.5,17357.51
2067.56,17459.85
2075.37,17920.45
2002.33,17371.58
2070.65,17621.4
2088.77,17818.96
2058.2,17450.77
2044.81,17197.73
2019.42,16864.16
2051.82,17511.75
1994.99,17674.39
2055.47,17648.5
2096.99,17913.36
2110.3,18332.3
2104.5,18797.94
2071.26,18971
2053.4,19254.25
2108.1,19560.22
2061.02,19285.63
2066.96,19435.08
2102.06,19907.63
2081.18,19652.88
2117.69,20020.04
2108.29,19531.63
2116.1,19379.19
2122.73,19732.92
2126.06,20264.41
2107.39,20563.15
2092.83,20460.9
2094.11,20407.08
2109.99,20174.24
2101.49,20706.15
2076.78,20539.79
2076.62,19779.83
2126.64,20650.92
2079.65,20544.53
2103.84,20585.24
2077.57,20724.56
2091.54,20519.45
1970.89,19435.83
1988.87,19136.32
1921.22,17792.16
1961.05,18264.22
1958.03,18070.21
1931.34,17880.51
1951.36,17725.13
2014.89,18438.67
2033.11,18291.8
2075.15,18825.3
2079.36,19083.1
2099.2,19265.6
2023.04,19596.91
2089.17,19879.81
2090.11,19883.94
2091.69,19504.48
2012.37,19230.48
2005.55,18986.8
2060.99,18769.06
2043.94,19033.71
1922.03,17697.96
1880.33,17147.11
1906.9,16958.53
1940.24,17518.3
1880.05,16819.59
1864.78,14952.61
1917.78,15967.17
1948.05,16188.41
1999.99,17014.78
2022.19,16938.87
2049.58,16724.81
2035.94,17002.75
2072.78,16164.16
2047.6,15821.52
2080.73,16848.03
2091.58,17572.49
2065.3,16666.05
2057.14,16106.72
2046.61,16412.21
2052.32,16736.35
2099.06,16834.84
2099.13,16642.23
2096.07,16601.36
2071.22,15599.66
2037.41,14952.02
2102.95,15682.48
2129.9,15106.98
2161.74,16497.85
2175.03,16627.25
2173.6,16569.27
2182.87,16254.45
2184.05,16919.92
2183.87,16545.82
2169.04,16360.71
2179.98,16925.68
2127.81,16965.76
2139.16,16519.29
2164.69,16754.02
2168.27,16449.84
2153.74,16860.09
2132.98,16856.37
2141.16,17184.59
2126.41,17446.41
2085.18,16905.36
2164.45,17374.79
2181.9,17967.41
2213.35,18381.22
2191.95,18426.08
2259.53,18996.37
2258.07,19401.15
2263.79,19427.67
2238.83,19114.37
2276.98,19454.33
2274.64,19287.28
2271.31,19137.91
2294.69,19467.4
2297.42,18918.2
2316.1,19378.93
2351.16,19234.62
2367.34,19283.54
2383.12,19469.17
2372.6,19604.61
2378.25,19521.59
2343.98,19262.53
2362.72,18909.26
2355.54,18664.63
2328.95,18335.63
2348.69,18620.75
2384.2,19196.74
2399.29,19445.7
2390.9,19883.9
2381.73,19590.76
2415.82,19686.84
2439.07,20177.28
2431.77,20013.26
2433.15,19943.26
2438.3,20132.67
2423.41,20033.43
2425.18,19929.09
2459.27,20118.86
2472.54,20099.75
2472.1,19959.84
2476.83,19952.33
2441.32,19729.74
2425.55,19470.41
2443.05,19452.61
2476.55,19691.47
2461.43,19274.82
2500.23,19909.5
2502.22,20296.45
2519.36,20356.28
2549.33,20690.71
2553.17,21155.18
2575.21,21457.64
2581.07,22008.45
2587.84,22539.12
2582.3,22681.42
2578.85,22396.8
2602.42,22550.85
2642.22,22819.03
2651.5,22811.08
2675.81,22553.22
2683.34,22902.76
2673.61,22764.94
2743.15,23714.53
2786.24,23653.82
2810.3,23808.06
2872.87,23631.88
2762.13,23274.53
2619.55,21382.62
2732.22,21720.25
2747.3,21892.78
2691.25,21181.64
2786.57,21469.2
2752.01,21676.51
2588.26,20617.86
2640.87,21454.3
2604.47,21567.52
2656.3,21778.74
2670.14,22162.24
2669.91,22467.87
2663.42,22472.78
2727.72,22758.48
2712.97,22930.36
2721.33,22450.79
2734.62,22171.35
2779.03,22694.5
2779.66,22851.75
2754.88,22516.83
2718.37,22304.51
2759.82,21788.14
2801.31,22597.35
2801.83,22697.88
2818.82,22712.75
2840.35,22525.18
2833.28,22298.08
2850.13,22270.38
2874.69,22601.77
2901.52,22865.15
2871.68,22307.06
2904.98,23094.67
2929.67,23869.93
2913.98,24120.04
2885.57,23783.72
2767.13,22694.66
2767.78,22532.08
2658.69,21184.6
2723.06,22243.66
2781.01,22250.25
2736.27,21680.34
2632.56,21646.55
2760.17,22351.06
2633.08,21678.68
2599.95,21374.83
2416.62,20166.19
2485.74,20014.77
2531.94,19561.96
